Codigo;Acao;Tipo;Qtde. Teorica;Part. (%)
ABEV3;AMBEV S/A;ON  EJ;4.386.652.506;3,275;
ALPA4;ALPARGATAS;PN      N1;202.765.994;0,157;
AMER3;AMERICANAS;ON      NM;611.169.249;0,303;
ARZZ3;AREZZO CO;ON      NM;60.758.326;0,244;
ASAI3;ASSAI;ON  EJ  NM;935.793.199;0,937;
AZUL4;AZUL;PN      N2;327.646.296;0,185;
B3SA3;B3;ON  ED  NM;5.901.731.302;3,992;
BBAS3;BRASIL;ON      NM;1.420.731.069;2,537;
BBDC3;BRADESCO;ON      N1;1.508.883.586;1,045;
BBDC4;BRADESCO;PN      N1;5.156.077.326;4,016;
BBSE3;BBSEGURIDADE;ON      NM;671.682.536;1,164;
BEEF3;MINERVA;ON      NM;260.340.982;0,173;
BPAC11;BTGP BANCO;UNT     N2;1.225.470.424;1,508;
BPAN4;BANCO PAN;PN  EJ  N1;341.549.703;0,107;
BRAP4;BRADESPAR;PN  EJ  N1;251.016.648;0,384;
BRFS3;BRF SA;ON  ATZ NM;1.076.512.610;0,458;
BRKM5;BRASKEM;PNA     N1;265.212.486;0,324;
BRML3;BR MALLS PAR;ON      NM;828.273.884;0,353;
CASH3;MELIUZ;ON      NM;657.970.941;0,040;
CCRO3;CCR SA;ON      NM;998.462.635;0,555;
CIEL3;CIELO;ON  EJ  NM;1.095.401.258;0,295;
CMIG4;CEMIG;PN  EJ  N1;1.442.098.974;0,826;
CMIN3;CSNMINERACAO;ON  EJ  N2;1.110.550.596;0,233;
COGN3;COGNA ON;ON      NM;1.820.405.422;0,198;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,320;
CPLE6;COPEL;PNB     N2;1.563.365.506;0,636;
CRFB3;CARREFOUR BR;ON      NM;528.743.156;0,402;
CSAN3;COSAN;ON      NM;1.171.063.698;1,031;
CSNA3;SID NACIONAL;ON  EJ;589.695.175;0,441;
CVCB3;CVC BRASIL;ON      NM;275.967.676;0,064;
CYRE3;CYRELA REALT;ON      NM;274.142.301;0,184;
DXCO3;DEXCO;ON  EB  NM;274.863.424;0,096;
ECOR3;ECORODOVIAS;ON      NM;310.103.685;0,071;
EGIE3;ENGIE BRASIL;ON  EJ  NM;255.208.461;0,497;
ELET3;ELETROBRAS;ON      N1;1.871.213.500;4,052;
ELET6;ELETROBRAS;PNB     N1;275.526.814;0,612;
EMBR3;EMBRAER;ON      NM;734.632.205;0,540;
ENBR3;ENERGIAS BR;ON      NM;246.028.184;0,263;
ENEV3;ENEVA;ON      NM;1.576.898.490;0,967;
ENGI11;ENERGISA;UNT     N2;248.477.689;0,565;
EQTL3;EQUATORIAL;ON      NM;1.100.513.485;1,529;
EZTC3;EZTEC;ON      NM;94.318.339;0,065;
FLRY3;FLEURY;ON  EJ  NM;351.919.239;0,280;
GGBR4;GERDAU;PN      N1;1.093.112.629;1,651;
GOAU4;GERDAU MET;PN      N1;667.194.478;0,445;
GOLL4;GOL;PN      N2;190.059.275;0,072;
HAPV3;HAPVIDA;ON      NM;4.455.957.762;1,164;
HYPE3;HYPERA;ON  EJ  NM;400.842.480;0,931;
IGTI11;IGUATEMI S.A;UNT     N1;213.576.831;0,203;
ITSA4;ITAUSA;PN      N1;5.233.076.295;2,289;
ITUB4;ITAUUNIBANCO;PN      N1;4.801.489.940;6,167;
JBSS3;JBS;ON      NM;1.134.986.483;1,283;
KLBN11;KLABIN S/A;UNT EJ  N2;701.899.756;0,721;
LREN3;LOJAS RENNER;ON  EJ  NM;965.528.807;1,017;
LWSA3;LOCAWEB;ON      NM;419.466.860;0,151;
MGLU3;MAGAZ LUIZA;ON      NM;2.874.188.573;0,405;
MRFG3;MARFRIG;ON  ED  NM;316.724.584;0,142;
MRVE3;MRV;ON      NM;305.668.749;0,119;
MULT3;MULTIPLAN;ON  EJ  N2;268.145.328;0,302;
NTCO3;GRUPO NATURA;ON      NM;835.961.011;0,499;
PCAR3;P.ACUCAR-CBD;ON      NM;157.889.627;0,134;
PETR3;PETROBRAS;ON      N2;3.484.913.747;5,024;
PETR4;PETROBRAS;PN      N2;4.566.441.248;5,752;
PETZ3;PETZ;ON  EJ  NM;335.724.569;0,108;
PRIO3;PETRORIO;ON      NM;839.159.130;1,605;
QUAL3;QUALICORP;ON      NM;277.226.847;0,084;
RADL3;RAIADROGASIL;ON      NM;1.196.069.386;1,459;
RAIL3;RUMO S.A.;ON      NM;1.215.642.613;1,163;
RAIZ4;RAIZEN;PN      N2;1.200.488.532;0,231;
RDOR3;REDE D OR;ON  EJ  NM;1.149.694.340;1,748;
RENT3;LOCALIZA;ON  EJS NM;773.535.098;2,116;
RRRP3;3R PETROLEUM;ON      NM;196.144.421;0,381;
SANB11;SANTANDER BR;UNT;355.642.848;0,515;
SBSP3;SABESP;ON      NM;340.002.999;0,999;
SLCE3;SLC AGRICOLA;ON  EJ  NM;96.272.020;0,232;
SMTO3;SAO MARTINHO;ON      NM;143.294.210;0,195;
SOMA3;GRUPO SOMA;ON      NM;490.736.222;0,256;
SUZB3;SUZANO S.A.;ON      NM;726.823.001;1,803;
TAEE11;TAESA;UNT     N2;218.568.234;0,390;
TIMS3;TIM;ON  EJ  NM;808.436.195;0,515;
TOTS3;TOTVS;ON      NM;520.749.110;0,735;
UGPA3;ULTRAPAR;ON      NM;1.087.887.681;0,705;
USIM5;USIMINAS;PNA     N1;515.014.562;0,190;
VALE3;VALE;ON      NM;3.394.804.584;15,512;
VBBR3;VIBRA;ON  EJ  NM;1.114.442.976;0,891;
VIIA3;VIA;ON      NM;1.576.975.642;0,195;
VIVT3;TELEF BRASIL;ON;423.091.712;0,813;
WEGE3;WEG;ON      NM;1.318.583.017;2,611;
YDUQ3;YDUQS PART;ON      NM;296.015.511;0,155;
Quantidade Teï¿½rica Total;;;98.185.721.440;100,000
Redutor;;;17.725.713,47722767
